max , class1 , class2 , class3 , class4 , class5
1729 , 27371 , 63845 , 50911 , 40397 , 36065
4104 , 41004 , 126536 , 104535 , 36779 , 36305
13832 , 143590 , 416772 , 334249 , 75168 , 64124
20683 , 277529 , 629925 , 518815 , 105120 , 66085
32832 , 319254 , 1011700 , 821285 , 109217 , 92106
39312 , 286123 , 1080710 , 925561 , 72863 , 98481
40033 , 302287 , 1132401 , 874962 , 66769 , 67513
46683 , 350567 , 1296338 , 1001210 , 71878 , 73038
64232 , 516041 , 1810432 , 1392952 , 102833 , 84889
65728 , 534814 , 1847888 , 1422193 , 104034 , 80628
110656 , 982768 , 3089390 , 2392621 , 130568 , 124076
110808 , 992334 , 3114276 , 2410070 , 130402 , 125453
134379 , 1263265 , 3789992 , 2937033 , 145439 , 137941
149389 , 1442501 , 4222702 , 3277707 , 182942 , 152086
165464 , 1597297 , 4616295 , 3567529 , 198304 , 149124
171288 , 1685023 , 4804303 , 3728630 , 201833 , 154280
195841 , 1999108 , 5514310 , 4272531 , 212664 , 163423
216027 , 2219003 , 6029875 , 4667090 , 222666 , 215875
216125 , 2221469 , 6044749 , 4682254 , 221829 , 217279
262656 , 2854997 , 7385406 , 5712932 , 243206 , 234121
314496 , 3547206 , 8811598 , 6808220 , 264376 , 249475
320264 , 3655818 , 9009629 , 6977181 , 270942 , 251958
327763 , 3693948 , 9149305 , 7079707 , 269753 , 250278
373464 , 4405262 , 10488455 , 8095590 , 291210 , 271397
402597 , 4800287 , 11251829 , 8685316 , 377723 , 278239
439101 , 5427477 , 12343711 , 9534918 , 397477 , 293055
443889 , 5531335 , 12533725 , 9669082 , 393647 , 299475
513000 , 6597065 , 14448231 , 11168346 , 424354 , 313610
513856 , 6613478 , 14506123 , 11197497 , 420258 , 319483
515375 , 6737158 , 14797208 , 11445282 , 436149 , 326358
525824 , 6766669 , 14809448 , 11419580 , 425383 , 321735
558441 , 7328775 , 15760712 , 12174092 , 443185 , 326999
593047 , 7898500 , 16632663 , 12881376 , 453434 , 432161
684019 , 9464841 , 19276906 , 14913972 , 486725 , 450607
704977 , 9738802 , 19699364 , 15256785 , 488820 , 463446
805688 , 11614964 , 22666153 , 17560682 , 523290 , 484949
842751 , 12311393 , 23693152 , 18381974 , 534059 , 492190
885248 , 13044335 , 24853161 , 19245269 , 545649 , 501454
886464 , 13138780 , 24906249 , 19331324 , 544889 , 508631
920673 , 13762146 , 25981190 , 20120304 , 558141 , 510626
955016 , 14443210 , 26850694 , 20800633 , 570662 , 519279
984067 , 15150538 , 27980782 , 21759459 , 586053 , 542199
994688 , 15164410 , 27992571 , 21737957 , 590702 , 559275
1009736 , 15497175 , 28486771 , 22081432 , 588142 , 538208
1016496 , 15566432 , 28602541 , 22157783 , 593249 , 537710
1061424 , 16394170 , 29802146 , 23094797 , 604122 , 552738
1073375 , 16733419 , 30251042 , 23446973 , 592700 , 565280
1075032 , 16750496 , 30247622 , 23446514 , 613714 , 561430
1080891 , 16825123 , 30139513 , 23568260 , 615577 , 555554
1092728 , 16929680 , 30617710 , 23720055 , 767471 , 563292
